Suburb,Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,CouncilArea,Regionname,Propertycount,Year
Altona,4,h,1030000.0,S,13.8,3018.0,4.0,1.0,0.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona,3,u,605000.0,S,13.8,3018.0,3.0,1.0,2.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona,3,h,685000.0,S,13.8,3018.0,3.0,2.0,2.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2017
Altona North,4,h,960000.0,S,11.1,3025.0,3.0,2.0,2.0,Hobsons Bay City Council,Western Metropolitan,5132.0,2017
Altona North,3,h,750000.0,SP,11.1,3025.0,3.0,1.0,3.0,Hobsons Bay City Council,Western Metropolitan,5132.0,2017
Altona North,2,t,421000.0,S,11.1,3025.0,2.0,1.0,1.0,Hobsons Bay City Council,Western Metropolitan,5132.0,2017
Altona North,3,h,1405000.0,S,11.1,3025.0,3.0,1.0,3.0,Hobsons Bay City Council,Western Metropolitan,5132.0,2017
Altona North,2,t,640000.0,S,11.1,3025.0,2.0,1.0,1.0,Hobsons Bay City Council,Western Metropolitan,5132.0,2017
Altona North,3,h,815000.0,S,11.1,3025.0,3.0,2.0,3.0,Hobsons Bay City Council,Western Metropolitan,5132.0,2017
Altona North,4,h,970000.0,S,11.1,3025.0,4.0,1.0,2.0,Hobsons Bay City Council,Western Metropolitan,5132.0,2017
Armadale,3,h,2050000.0,S,6.3,3143.0,3.0,2.0,2.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,3,h,1870000.0,S,6.3,3143.0,3.0,1.0,1.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,2,u,678000.0,S,6.3,3143.0,2.0,1.0,2.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,3,t,1918000.0,SP,6.3,3143.0,3.0,2.0,2.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,2,u,660000.0,SP,6.3,3143.0,2.0,1.0,1.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,3,h,2050000.0,S,6.3,3143.0,3.0,2.0,1.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,2,h,1900000.0,VB,6.3,3143.0,2.0,2.0,0.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,1,u,440000.0,SP,6.3,3143.0,1.0,1.0,1.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,2,u,710000.0,S,6.3,3143.0,2.0,1.0,1.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,2,u,872000.0,S,6.3,3143.0,2.0,1.0,1.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,2,u,598000.0,S,6.3,3143.0,2.0,1.0,1.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Armadale,3,h,1285000.0,S,6.3,3143.0,3.0,1.0,2.0,Stonnington City Council,Southern Metropolitan,4836.0,2017
Ascot Vale,3,h,1380000.0,SP,5.9,3032.0,3.0,2.0,2.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,2,u,490000.0,VB,5.9,3032.0,2.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,4,h,1850000.0,S,5.9,3032.0,4.0,3.0,1.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,3,h,1284000.0,S,5.9,3032.0,3.0,1.0,2.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,4,h,1200000.0,PI,5.9,3032.0,3.0,2.0,2.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,3,h,1440000.0,S,5.9,3032.0,3.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,2,h,955000.0,S,5.9,3032.0,2.0,1.0,0.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,2,h,1150000.0,S,5.9,3032.0,2.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,3,h,1350000.0,S,5.9,3032.0,3.0,1.0,3.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,5,h,1905000.0,S,5.9,3032.0,5.0,2.0,2.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,2,t,865000.0,SP,5.9,3032.0,2.0,2.0,1.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,2,u,390000.0,PI,5.9,3032.0,2.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,4,h,1345000.0,S,5.9,3032.0,4.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,1,u,296000.0,S,5.9,3032.0,1.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ascot Vale,3,h,1381500.0,S,5.9,3032.0,3.0,2.0,2.0,Moonee Valley City Council,Western Metropolitan,6567.0,2017
Ashburton,2,u,500000.0,VB,11.0,3147.0,2.0,1.0,1.0,Boroondara City Council,Southern Metropolitan,3052.0,2017
Ashburton,2,h,1575000.0,S,11.0,3147.0,2.0,1.0,2.0,Boroondara City Council,Southern Metropolitan,3052.0,2017
Ashburton,4,h,1991000.0,S,11.0,3147.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,3052.0,2017
Ashburton,3,h,1601000.0,S,11.0,3147.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,3052.0,2017
Ashburton,4,h,1650000.0,PI,11.0,3147.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,3052.0,2017
Ashburton,4,h,1800000.0,S,11.0,3147.0,4.0,2.0,4.0,Boroondara City Council,Southern Metropolitan,3052.0,2017
Ashburton,3,h,1610000.0,S,11.0,3147.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,3052.0,2017
Ashburton,3,h,1830000.0,S,11.0,3147.0,3.0,2.0,3.0,Boroondara City Council,Southern Metropolitan,3052.0,2017
Ashwood,3,u,1045000.0,S,12.2,3147.0,3.0,2.0,2.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,4,h,1200000.0,SP,12.2,3147.0,4.0,3.0,2.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,2,h,1250000.0,S,12.2,3147.0,2.0,2.0,2.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,3,h,1200000.0,VB,12.2,3147.0,3.0,2.0,2.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,2,u,600000.0,S,12.2,3147.0,2.0,1.0,1.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,4,t,980000.0,PI,12.2,3147.0,3.0,2.0,2.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,3,h,1305000.0,S,12.2,3147.0,3.0,1.0,1.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,3,h,855000.0,S,12.2,3147.0,3.0,2.0,1.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,3,h,900000.0,VB,12.2,3147.0,3.0,2.0,2.0,Monash City Council,Southern Metropolitan,2894.0,2017
Ashwood,4,t,1400000.0,S,12.2,3147.0,3.0,2.0,2.0,Monash City Council,Southern Metropolitan,2894.0,2017
Avondale Heights,3,h,848000.0,S,10.5,3034.0,3.0,1.0,2.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Avondale Heights,4,h,806000.0,S,10.5,3034.0,4.0,2.0,1.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Avondale Heights,3,h,825000.0,SP,10.5,3034.0,3.0,2.0,2.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Avondale Heights,2,t,585000.0,S,10.5,3034.0,2.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Avondale Heights,2,u,440000.0,S,10.5,3034.0,2.0,1.0,1.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Avondale Heights,3,h,850000.0,S,10.5,3034.0,3.0,1.0,2.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Avondale Heights,3,h,730000.0,S,10.5,3034.0,3.0,2.0,2.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Avondale Heights,3,h,875000.0,S,10.5,3034.0,3.0,1.0,3.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Avondale Heights,3,h,850000.0,SP,10.5,3034.0,3.0,2.0,3.0,Moonee Valley City Council,Western Metropolitan,4502.0,2017
Balaclava,2,h,981000.0,S,6.6,3183.0,2.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,2952.0,2017
Balaclava,3,h,1690000.0,S,6.6,3183.0,3.0,2.0,2.0,Port Phillip City Council,Southern Metropolitan,2952.0,2017
Balwyn,3,t,1400000.0,PI,9.7,3103.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,5682.0,2017
Balwyn,2,u,812000.0,S,9.7,3103.0,2.0,1.0,1.0,Boroondara City Council,Southern Metropolitan,5682.0,2017
Balwyn,2,u,754000.0,PI,9.7,3103.0,2.0,1.0,1.0,Boroondara City Council,Southern Metropolitan,5682.0,2017
Balwyn,3,h,1605000.0,SP,9.7,3103.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,5682.0,2017
Balwyn,4,h,1820000.0,SP,9.7,3103.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,5682.0,2017
Balwyn,3,t,1385000.0,S,9.7,3103.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,5682.0,2017
Balwyn North,3,h,2000000.0,S,9.2,3104.0,3.0,1.0,3.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,h,1750000.0,S,9.2,3104.0,4.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,3,h,1450000.0,VB,9.2,3104.0,3.0,1.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,h,1825000.0,S,9.2,3104.0,4.0,2.0,3.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,h,1670000.0,SP,9.2,3104.0,4.0,3.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,h,1720000.0,PI,9.2,3104.0,4.0,3.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,h,1670000.0,S,9.2,3104.0,4.0,1.0,4.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,2,h,1350000.0,SP,9.2,3104.0,2.0,1.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,3,h,2086000.0,S,9.2,3104.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,h,1675000.0,S,9.2,3104.0,4.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,t,1680000.0,S,9.2,3104.0,4.0,3.0,1.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,3,h,1520000.0,S,9.2,3104.0,3.0,1.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,h,1250000.0,VB,9.2,3104.0,4.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,6,h,1900000.0,S,9.2,3104.0,6.0,3.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Balwyn North,4,h,2006000.0,S,9.2,3104.0,3.0,2.0,2.0,Boroondara City Council,Southern Metropolitan,7809.0,2017
Bentleigh,3,t,710000.0,PI,13.0,3204.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,4,h,1260000.0,PI,13.0,3204.0,4.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,2,u,896000.0,S,13.0,3204.0,2.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,3,h,1470000.0,S,13.0,3204.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,2,u,725000.0,S,13.0,3204.0,2.0,1.0,1.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,4,t,1380000.0,PI,13.0,3204.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,3,t,825000.0,S,13.0,3204.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,3,t,1235000.0,S,13.0,3204.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,3,u,820000.0,PI,13.0,3204.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,3,h,1280000.0,S,13.0,3204.0,3.0,2.0,3.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,5,h,1900000.0,S,13.0,3204.0,5.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,3,h,1230000.0,S,13.0,3204.0,3.0,1.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh,4,h,1150000.0,PI,13.0,3204.0,4.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,6795.0,2017
Bentleigh East,3,t,1115000.0,S,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1190000.0,S,13.9,3165.0,4.0,2.0,3.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1270000.0,S,13.9,3165.0,4.0,2.0,1.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,u,1025000.0,S,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,2,u,737500.0,S,13.9,3165.0,2.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,u,740000.0,PI,13.9,3165.0,3.0,2.0,1.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1960000.0,S,13.9,3165.0,4.0,2.0,4.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,t,1000000.0,PI,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,t,850000.0,PI,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1130000.0,S,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,t,1235000.0,SP,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,t,1030000.0,S,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,t,970000.0,S,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,h,930000.0,S,13.9,3165.0,3.0,1.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1510000.0,SP,13.9,3165.0,4.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,t,1240000.0,S,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,h,823000.0,S,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1310000.0,S,13.9,3165.0,4.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1270000.0,PI,13.9,3165.0,3.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1475000.0,S,13.9,3165.0,4.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,t,950000.0,PI,13.9,3165.0,4.0,2.0,1.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,t,1325000.0,S,13.9,3165.0,4.0,4.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,u,770000.0,PI,13.9,3165.0,3.0,2.0,1.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,h,1110000.0,S,13.9,3165.0,3.0,1.0,3.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,1,u,380000.0,S,13.9,3165.0,1.0,1.0,1.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1175000.0,S,13.9,3165.0,4.0,2.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,h,1200000.0,S,13.9,3165.0,3.0,1.0,1.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1370000.0,SP,13.9,3165.0,4.0,1.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,4,h,1433500.0,S,13.9,3165.0,4.0,1.0,1.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,2,h,1630000.0,S,13.9,3165.0,2.0,1.0,2.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Bentleigh East,3,h,1360000.0,SP,13.9,3165.0,3.0,1.0,3.0,Glen Eira City Council,Southern Metropolitan,10969.0,2017
Box Hill,2,u,645000.0,S,13.1,3128.0,2.0,1.0,1.0,Whitehorse City Council,Eastern Metropolitan,4605.0,2017
Box Hill,2,u,790000.0,S,13.1,3128.0,2.0,1.0,1.0,Whitehorse City Council,Eastern Metropolitan,4605.0,2017
Box Hill,4,h,880000.0,S,13.1,3128.0,4.0,2.0,2.0,Whitehorse City Council,Eastern Metropolitan,4605.0,2017
Box Hill,1,u,340000.0,SP,13.1,3128.0,1.0,1.0,1.0,Whitehorse City Council,Eastern Metropolitan,4605.0,2017
Box Hill,4,h,1670000.0,S,13.1,3128.0,4.0,2.0,2.0,Whitehorse City Council,Eastern Metropolitan,4605.0,2017
Box Hill,4,h,1750000.0,S,13.1,3128.0,3.0,2.0,2.0,Whitehorse City Council,Eastern Metropolitan,4605.0,2017
Braybrook,3,t,502000.0,SP,10.8,3019.0,3.0,1.0,1.0,Maribyrnong City Council,Western Metropolitan,3589.0,2017
Braybrook,3,h,730000.0,S,10.8,3019.0,3.0,2.0,2.0,Maribyrnong City Council,Western Metropolitan,3589.0,2017
Braybrook,3,h,610000.0,VB,10.8,3019.0,3.0,2.0,2.0,Maribyrnong City Council,Western Metropolitan,3589.0,2017
Braybrook,3,h,696000.0,S,10.8,3019.0,3.0,1.0,0.0,Maribyrnong City Council,Western Metropolitan,3589.0,2017
Braybrook,3,t,536000.0,S,10.8,3019.0,3.0,2.0,2.0,Maribyrnong City Council,Western Metropolitan,3589.0,2017
Braybrook,3,h,765000.0,S,10.8,3019.0,3.0,1.0,1.0,Maribyrnong City Council,Western Metropolitan,3589.0,2017
Braybrook,2,t,475000.0,S,10.8,3019.0,2.0,1.0,1.0,Maribyrnong City Council,Western Metropolitan,3589.0,2017
Brighton,2,u,1300000.0,S,11.2,3186.0,2.0,2.0,1.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,3,h,1390000.0,S,11.2,3186.0,3.0,1.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,2,u,1300000.0,S,11.2,3186.0,2.0,2.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,3,t,1725000.0,PI,11.2,3186.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,2,u,1300000.0,PI,11.2,3186.0,2.0,2.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,2,u,858000.0,S,11.2,3186.0,2.0,1.0,1.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,3,t,1427000.0,S,11.2,3186.0,3.0,2.0,1.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,4,h,2000000.0,S,11.2,3186.0,4.0,2.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,2,t,1230000.0,S,11.2,3186.0,2.0,2.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,2,t,1037000.0,S,11.2,3186.0,2.0,1.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,4,t,1630000.0,SP,11.2,3186.0,4.0,2.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,2,h,1701000.0,S,11.2,3186.0,2.0,1.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton,2,u,760000.0,PI,11.2,3186.0,2.0,1.0,2.0,Bayside City Council,Southern Metropolitan,10579.0,2017
Brighton East,3,t,1302500.0,S,10.7,3187.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,2,h,1445000.0,S,10.7,3187.0,2.0,1.0,1.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,4,t,1350000.0,PI,10.7,3187.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,4,h,1840000.0,S,10.7,3187.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,3,u,880000.0,S,10.7,3187.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,4,h,1920000.0,S,10.7,3187.0,4.0,1.0,1.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,3,h,1845000.0,S,10.7,3187.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,2,u,770000.0,S,10.7,3187.0,2.0,1.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,3,t,1580000.0,S,10.7,3187.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,1,u,340000.0,VB,10.7,3187.0,1.0,1.0,1.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,3,h,1537000.0,SP,10.7,3187.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,3,h,1100000.0,S,10.7,3187.0,3.0,1.0,1.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,2,h,994000.0,S,10.7,3187.0,2.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,4,t,2160000.0,PI,10.7,3187.0,3.0,2.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brighton East,4,h,1447000.0,S,10.7,3187.0,4.0,1.0,2.0,Bayside City Council,Southern Metropolitan,6938.0,2017
Brunswick,2,t,665000.0,SP,5.2,3056.0,2.0,2.0,2.0,Moreland City Council,Northern Metropolitan,11918.0,2017
